candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,margin,margin_pct,lock_order,locked,rp_winner_overall,state_fips,state_abbr
LIB_sd,STY_sd,1790.1474032297979,2176.0248724200965,385.88,9.7292,7,True,SD_lib,6,CA
REF,SD_lib,1307.272555711403,2658.8997199384917,1351.63,34.0789,3,True,SD_lib,6,CA
REF,STY_sd,1089.9797197088928,2876.192555941002,1786.21,45.0362,1,True,SD_lib,6,CA
SD_lib,STY_sd,2143.8500034193994,1822.3222722304954,321.53,8.1068,9,True,SD_lib,6,CA
CON_ref,CTR_con,337.02850905931996,490.25678763506613,153.23,18.5218,4,True,CTR_con,8,CO
CON_ref,LIB_sd,406.3611183893337,420.92417830505246,14.56,1.7603,9,True,CTR_con,8,CO
CON_ref,PRG_dsa,471.4136584282384,355.87163826614767,115.54,13.9664,6,True,CTR_con,8,CO
CON_ref,REF,530.486442668238,296.7988540261481,233.69,28.2475,2,True,CTR_con,8,CO
CTR_con,LIB_sd,429.9092255843942,397.3760711099918,32.53,3.9325,8,True,CTR_con,8,CO
CTR_con,PRG_dsa,489.28380413129753,338.00149256308856,151.28,18.2866,5,True,CTR_con,8,CO
CTR_con,REF,529.5323669280745,297.7529297663117,231.78,28.0169,3,True,CTR_con,8,CO
LIB_sd,PRG_dsa,547.1364080052329,280.1488886891533,266.99,32.2727,1,True,CTR_con,8,CO
LIB_sd,REF,452.1545073450211,375.130789349365,77.02,9.3104,7,True,CTR_con,8,CO
PRG_dsa,REF,408.53931533593595,418.7459813584501,10.21,1.2338,10,True,CTR_con,8,CO
CON,CTR_con,179.42861517825094,304.72590272316256,125.3,25.8796,5,True,SD_sty,9,CT
CON,LIB_sd,234.95857142394237,249.19594647747107,14.24,2.9407,10,True,SD_sty,9,CT
CON,PRG_dsa,299.39516984007344,184.75934806134003,114.64,23.6775,6,True,SD_sty,9,CT
CON,SD_sty,209.66527173828737,274.4892461631261,64.82,13.3891,8,True,SD_sty,9,CT
CTR_con,LIB_sd,276.2411659974561,207.91335190395733,68.33,14.1128,7,True,SD_sty,9,CT
CTR_con,PRG_dsa,324.6829568851779,159.47156101623563,165.21,34.1237,3,True,SD_sty,9,CT
CTR_con,SD_sty,231.47246678004961,252.68205112136388,21.21,4.3807,9,True,SD_sty,9,CT
LIB_sd,PRG_dsa,358.7328632450367,125.42165465637676,233.31,48.1894,2,True,SD_sty,9,CT
LIB_sd,SD_sty,178.66478645759346,305.48973144382,126.82,26.1951,4,True,SD_sty,9,CT
PRG_dsa,SD_sty,112.60907411483313,371.54544378658034,258.94,53.4822,1,True,SD_sty,9,CT
CON_ref,CTR_con,73.78629845761898,143.16394443298708,69.38,31.9786,3,True,CTR_sty,10,DE
CON_ref,CTR_sty,70.35999754151499,146.59024534909105,76.23,35.1372,1,True,CTR_sty,10,DE
CON_ref,LIB,95.77479256343703,121.17545032716905,25.4,11.7081,9,True,CTR_sty,10,DE
CON_ref,SD_lib,91.94845610450596,125.0017867861001,33.05,15.2354,8,True,CTR_sty,10,DE
CTR_con,CTR_sty,82.11551205571223,134.8347308348938,52.72,24.3001,4,True,CTR_sty,10,DE
CTR_con,LIB,126.19653928820986,90.75370360239623,35.44,16.3368,6,True,CTR_sty,10,DE
CTR_con,SD_lib,118.59309819449696,98.3571446961091,20.24,9.3275,10,True,CTR_sty,10,DE
CTR_sty,LIB,133.2804886606477,83.66975422995839,49.61,22.8673,5,True,CTR_sty,10,DE
CTR_sty,SD_lib,125.1055913315593,91.8446515590468,33.26,15.3311,7,True,CTR_sty,10,DE
LIB,SD_lib,73.64544064170136,143.3048022489047,69.66,32.1085,2,True,CTR_sty,10,DE
CTR,LIB,36.2563060469102,81.10104286098036,44.84,38.2121,3,True,LIB_sd,11,DC
CTR,LIB_dsa,39.687569063813825,77.66977984407673,37.98,32.3646,5,True,LIB_sd,11,DC
CTR,LIB_sd,37.81724628401755,79.54010262387303,41.72,35.552,4,True,LIB_sd,11,DC
CTR,PRG_dsa,49.74311317613377,67.6142357317568,17.87,15.228,8,True,LIB_sd,11,DC
LIB,LIB_dsa,58.14197854330591,59.21537036458465,1.07,0.9146,10,True,LIB_sd,11,DC
LIB,LIB_sd,34.6600763261828,82.69727258170778,48.04,40.9324,1,True,LIB_sd,11,DC
LIB,PRG_dsa,66.91789834445382,50.43945056343675,16.48,14.0413,9,True,LIB_sd,11,DC
LIB_dsa,LIB_sd,49.558374298589094,67.79897460930148,18.24,15.5428,7,True,LIB_sd,11,DC
LIB_dsa,PRG_dsa,81.82380907065526,35.53353983723531,46.29,39.4439,2,True,LIB_sd,11,DC
LIB_sd,PRG_dsa,75.4777788249106,41.87957008297996,33.6,28.629,6,True,LIB_sd,11,DC
CON_ctr,CON_ref,1886.242373103712,1297.8909054631508,588.35,18.4776,6,True,CTR_con,12,FL
CON_ctr,CTR_con,1376.7921295596461,1807.3411490072165,430.55,13.5217,9,True,CTR_con,12,FL
CON_ctr,LIB,1950.8434820440884,1233.289796522774,717.55,22.5353,3,True,CTR_con,12,FL
CON_ctr,STY,1807.8086807925092,1376.3245977743534,431.48,13.5511,8,True,CTR_con,12,FL
CON_ref,CTR_con,1293.7512962319406,1890.3819823349218,596.63,18.7376,5,True,CTR_con,12,FL
CON_ref,LIB,1847.4009693074936,1336.7323092593692,510.67,16.0379,7,True,CTR_con,12,FL
CON_ref,STY,1611.5258754937347,1572.607403073128,38.92,1.2223,10,True,CTR_con,12,FL
CTR_con,LIB,2092.21044926146,1091.9228293054025,1000.29,31.4148,1,True,CTR_con,12,FL
CTR_con,STY,1926.265045421971,1257.8682331448917,668.4,20.9915,4,True,CTR_con,12,FL
LIB,STY,1124.9507513777105,2059.182527189152,934.23,29.3402,2,True,CTR_con,12,FL
CON,CTR_sty,518.4580587554788,953.9327663277527,435.47,29.576,3,True,CTR_sty,13,GA
CON,REF_nat,1023.9266440989048,448.4641809843265,575.46,39.0835,2,True,CTR_sty,13,GA
CON,SD_lib,709.9022512015566,762.4885738816748,52.59,3.5715,10,True,CTR_sty,13,GA
CON,SD_sty,684.0067162869016,788.3841087963299,104.38,7.089,9,True,CTR_sty,13,GA
CTR_sty,REF_nat,1077.5062743836156,394.8845506996159,682.62,46.3614,1,True,CTR_sty,13,GA
CTR_sty,SD_lib,862.056453151609,610.3343719316224,251.72,17.0961,6,True,CTR_sty,13,GA
CTR_sty,SD_sty,860.8093770718058,611.5814480114258,249.23,16.9268,7,True,CTR_sty,13,GA
REF_nat,SD_lib,560.1483904814374,912.242434601794,352.09,23.9131,5,True,CTR_sty,13,GA
REF_nat,SD_sty,524.1761322427534,948.2146928404782,424.04,28.7993,4,True,CTR_sty,13,GA
SD_lib,SD_sty,620.9008223976696,851.4900026855621,230.59,15.6609,8,True,CTR_sty,13,GA
CON_ctr,CTR_sty,81.77219218658661,121.37489781507706,39.6,19.4946,2,True,SD,15,HI
CON_ctr,LIB_sd,100.59118468886459,102.55590531279906,1.96,0.9671,10,True,SD,15,HI
CON_ctr,SD,88.33612627442349,114.81096372724016,26.47,13.0323,6,True,SD,15,HI
CON_ctr,STY_ctr,84.73057580734417,118.41651419431946,33.69,16.582,4,True,SD,15,HI
CTR_sty,LIB_sd,120.45445872575448,82.69263127590918,37.76,18.5884,3,True,SD,15,HI
CTR_sty,SD,94.81793097793663,108.32915902372704,13.51,6.651,9,True,SD,15,HI
CTR_sty,STY_ctr,115.03247939139726,88.11461061026641,26.92,13.2504,5,True,SD,15,HI
LIB_sd,SD,67.67626088013202,135.47082912153166,67.79,33.3722,1,True,SD,15,HI
