state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_STY,inc_LBR,inc_CUP,inc_LIB,inc_NAT,inc_PRG,inc_DSA
19,IA,CON_1,CON,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,CUP_1,CUP,8.62,1.38,4.13,0.0,0.0,0.0,0.0,1.97,15.66,0.0,0.0
19,IA,LBR_1,LBR,12.8,0.0,1.65,0.0,2.74,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,LIB_1,LIB,7.13,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,2.7,7.38
19,IA,POP_1,POP,9.81,0.96,0.0,0.0,2.77,0.0,0.0,0.0,0.0,0.0,3.58
20,KS,CON_1,CON,25.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,0.0,0.0
20,KS,CON_2,CON,0.0,7.96,0.67,3.44,4.7,0.0,2.81,0.0,0.0,0.0,0.0
20,KS,LBR_1,LBR,9.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,5.84
20,KS,LIB_1,LIB,13.48,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,6.66,0.52
20,KS,STY_1,STY,9.74,0.0,0.0,6.56,0.0,0.0,0.64,4.45,0.0,0.0,0.0
21,KY,CON_1,CON,23.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,KY,CUP_1,CUP,9.4,2.21,3.93,1.16,3.83,0.0,0.0,1.49,0.0,0.0,0.0
21,KY,LBR_1,LBR,11.5,0.0,0.67,0.0,0.0,0.0,0.0,10.01,0.0,0.0,4.22
21,KY,NAT_1,NAT,13.71,1.47,0.0,1.32,0.81,0.0,1.42,0.0,0.0,0.0,0.0
21,KY,STY_1,STY,11.26,1.09,0.0,8.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,CON_1,CON,22.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,CUP_1,CUP,13.22,1.56,3.63,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0
22,LA,LBR_1,LBR,9.31,0.0,1.76,0.0,5.55,0.0,0.63,10.21,0.0,0.0,2.57
22,LA,NAT_1,NAT,16.43,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,STY_1,STY,11.91,0.73,0.0,8.63,0.0,0.0,0.71,0.0,0.0,0.0,0.0
23,ME,CON_1,CON,14.21,0.0,0.0,0.0,0.0,0.0,3.04,0.0,0.0,0.0,0.0
23,ME,DSA_1,DSA,6.91,0.0,0.0,0.0,0.0,3.67,0.0,0.0,8.45,2.24,0.0
23,ME,LBR_1,LBR,12.27,0.0,6.25,0.0,2.88,0.0,1.2,0.52,0.0,1.39,0.0
23,ME,LIB_1,LIB,18.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13,0.0
23,ME,POP_1,POP,13.97,0.0,0.0,0.0,2.77,0.0,0.72,0.0,0.0,0.0,0.0
24,MD,CON_1,CON,14.16,0.0,0.0,0.0,0.0,0.0,2.5,0.0,5.09,0.0,0.0
24,MD,LBR_1,LBR,19.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
24,MD,LIB_1,LIB,11.03,0.0,5.03,0.0,2.56,0.0,0.0,0.0,0.0,11.61,0.61
24,MD,POP_1,POP,9.42,3.88,0.0,0.0,0.0,0.0,1.04,0.0,3.05,0.0,0.0
24,MD,STY_1,STY,8.61,0.68,4.42,0.53,0.0,1.19,1.71,0.0,0.0,0.0,2.29
25,MA,CON_1,CON,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0
25,MA,LBR_1,LBR,15.48,0.0,0.0,0.0,4.27,0.0,0.77,0.0,0.0,0.0,0.0
25,MA,LIB_1,LIB,14.85,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0
25,MA,POP_1,POP,6.01,0.89,8.19,0.0,2.89,1.1,1.03,0.0,2.77,0.0,0.0
25,MA,PRG_1,PRG,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.81
26,MI,CON_1,CON,22.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,MI,CUP_1,CUP,5.96,1.84,2.03,1.04,3.97,0.0,0.0,1.77,16.22,0.0,0.0
26,MI,LBR_1,LBR,12.66,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08
26,MI,LIB_1,LIB,11.31,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,7.48,0.0
26,MI,POP_1,POP,8.76,2.59,0.0,0.0,6.92,0.0,0.0,0.0,0.0,0.0,0.0
27,MN,CON_1,CON,15.61,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,0.0
27,MN,LBR_1,LBR,11.76,0.0,0.0,0.0,2.78,0.0,0.76,0.0,0.0,0.0,2.07
27,MN,LIB_1,LIB,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57
