code,year,in_letter,out_warmth,n_sup,party_lr,vote_share,extremeness,bloc,fptp,tier,micro
DEU,2017,2,3.7382514254140466,81.0,8.858021926157987,12.639999999999997,3.8580219261579867,right,0.0,True,0
DEU,2017,3,5.162739447314074,107.0,4.908356577478022,10.75,0.09164342252197777,center,0.0,True,0
DEU,2017,4,4.345100308633426,162.0,1.1402754426233515,9.239999999999998,3.8597245573766488,left,0.0,True,0
DEU,2017,5,4.892684073372303,200.0,3.2045092135615403,8.940000000000001,1.7954907864384597,left,0.0,True,0
DEU,2017,6,5.531479135212827,45.0,6.032272408645631,6.170000000000001,1.032272408645631,right,0.0,True,0
DEU,2021,0,4.157627116311096,563.0,3.3197929404408013,25.740000000000002,1.6802070595591987,left,0.0,True,0
DEU,2021,2,4.4983052556302106,508.0,3.020367635599159,14.75,1.9796323644008411,left,0.0,True,0
DEU,2021,3,4.384396454313402,217.0,5.053965153777644,11.460000000000003,0.05396515377764377,center,0.0,True,0
DEU,2021,4,3.0248626877560487,118.0,8.633411072657431,10.340000000000002,3.633411072657431,right,0.0,True,0
DEU,2021,5,4.683790058384876,90.0,5.936386576337345,5.170000000000001,0.9363865763373447,center,0.0,True,0
DEU,2021,6,3.933709282856364,177.0,0.9038540340588407,4.89,4.096145965941159,left,0.0,True,0
DNK,1998,0,3.5979266209771734,528.0,4.338157786486184,35.899999999999984,0.6618422135138156,center,0.0,True,0
DNK,1998,1,3.987485827685327,450.0,7.55949724797851,24.0,2.55949724797851,right,0.0,True,0
DNK,1998,2,4.754303641864971,176.0,7.237451921871006,8.900000000000002,2.2374519218710063,right,0.0,True,0
DNK,1998,3,4.223117876453358,161.0,2.516842209617306,7.599999999999999,2.483157790382694,left,0.0,True,0
DNK,1998,4,4.248485969359644,59.0,8.625655524548053,7.400000000000002,3.625655524548053,right,0.0,True,0
DNK,1998,5,5.114055055471965,35.0,5.534038214562317,4.299999999999998,0.534038214562317,center,0.0,True,0
DNK,2001,0,4.185092505956492,542.0,7.323958333333334,31.199999999999992,2.3239583333333336,right,0.0,True,0
DNK,2001,1,3.6262606137925637,517.0,4.378645833333334,29.10000000000001,0.6213541666666664,center,0.0,True,0
