district_id,state_fips,state_abbr,density_tier,seat_count,quota,total_weight,n_ballots,elected_party_0,elected_party_1,elected_party_2,elected_party_3,elected_party_4,elected_party_5,elected_party_6,round_elim_c0,round_elim_c1,round_elim_c2,round_elim_c3,round_elim_c4,round_elim_c5,round_elim_c6,round_elim_c7,round_elim_c8,round_elim_c9
41-03,41,OR,SUBURBAN,3,123.0,490.3015,456,4,0,2.0,,,,,-1.0,,-1.0,5.0,-1.0,3.0,1.0,,2.0,4.0
42-01,42,PA,URBAN,7,24.0,187.3711,137,1,2,4.0,5.0,9.0,8.0,6.0,1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,,-1.0,-1.0
42-02,42,PA,URBAN,7,23.0,178.8449,160,2,5,1.0,4.0,8.0,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,,-1.0,1.0
42-03,42,PA,URBAN,5,23.0,135.5891,159,6,0,1.0,2.0,9.0,,,-1.0,-1.0,-1.0,1.0,,3.0,-1.0,,2.0,-1.0
42-04,42,PA,SUBURBAN,5,96.0,573.4232,708,0,1,4.0,5.0,2.0,,,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,,,2.0,1.0
42-05,42,PA,SUBURBAN,5,89.0,529.7554,626,0,1,4.0,5.0,6.0,,,-1.0,-1.0,,3.0,-1.0,-1.0,-1.0,,1.0,2.0
42-06,42,PA,RURAL,5,98.0,584.5418,628,0,1,5.0,2.0,6.0,,,-1.0,-1.0,-1.0,3.0,,-1.0,-1.0,,1.0,2.0
44-01,44,RI,URBAN,3,41.0,163.3235,176,0,1,2.0,,,,,-1.0,-1.0,-1.0,1.0,,4.0,3.0,,5.0,2.0
45-01,45,SC,URBAN,5,22.0,127.4683,86,2,5,1.0,0.0,8.0,,,-1.0,-1.0,-1.0,4.0,3.0,-1.0,2.0,,-1.0,1.0
45-02,45,SC,SUBURBAN,5,69.0,411.0783,455,0,6,1.0,2.0,5.0,,,-1.0,-1.0,-1.0,3.0,,-1.0,-1.0,,2.0,1.0
45-03,45,SC,RURAL,3,48.0,191.7408,195,0,2,5.0,,,,,-1.0,,-1.0,5.0,3.0,-1.0,4.0,,2.0,1.0
46-01,46,SD,SUBURBAN,2,48.0,141.4797,137,0,2,,,,,,-1.0,4.0,-1.0,3.0,6.0,5.0,,,2.0,1.0
47-01,47,TN,URBAN,5,37.0,219.2583,211,0,2,4.0,6.0,5.0,,,-1.0,4.0,-1.0,3.0,-1.0,-1.0,-1.0,,1.0,2.0
47-02,47,TN,SUBURBAN,5,86.0,514.2426,477,0,3,6.0,2.0,1.0,,,-1.0,-1.0,-1.0,-1.0,3.0,,-1.0,,2.0,1.0
47-03,47,TN,RURAL,5,33.0,195.8034,192,0,6,3.0,5.0,2.0,,,-1.0,,-1.0,-1.0,2.0,-1.0,-1.0,,3.0,1.0
47-04,47,TN,RURAL,3,54.0,214.12,185,0,2,6.0,,,,,-1.0,5.0,-1.0,,2.0,3.0,-1.0,,4.0,1.0
48-01,48,TX,URBAN,7,15.0,117.5278,120,2,1,5.0,0.0,6.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,2.0,1.0
48-02,48,TX,URBAN,5,30.0,175.2796,124,2,1,0.0,5.0,4.0,,,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,3.0,,2.0,1.0
48-03,48,TX,URBAN,5,21.0,125.5501,133,2,0,6.0,1.0,8.0,,,-1.0,-1.0,-1.0,1.0,3.0,,-1.0,,-1.0,2.0
48-04,48,TX,URBAN,5,27.0,159.0016,139,2,1,6.0,5.0,4.0,,,,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,,3.0,1.0
48-05,48,TX,URBAN,5,23.0,135.4477,121,1,0,6.0,5.0,8.0,,,-1.0,-1.0,4.0,3.0,2.0,-1.0,-1.0,,-1.0,1.0
48-06,48,TX,URBAN,5,23.0,132.4433,128,2,4,0.0,6.0,1.0,,,-1.0,-1.0,-1.0,2.0,-1.0,3.0,-1.0,,,1.0
