candidate_code,candidate_name,variable,label,scale,domain,overall_mean,candidate_mean,delta,delta_pct_range
LK,CTR,CC24_303,Perceived price change past year (high=inflation),1–5 scale (higher=more inflation perceived),Economic Context,1.6116,1.5351,-0.0765,-8.47
LK,CTR,CC24_341a,Support extending 2017 tax cuts,"1=Oppose, 2=Support (HIGH=con)",Economic,1.3709,1.2361,-0.1348,-16.43
LK,CTR,CC24_341c,Oppose raising $400k+ income tax rates,"1=Lib (support raise), 2=Con (oppose raise); HIGH=con",Economic,1.3465,1.3794,0.0329,3.56
LK,CTR,CC24_341d,Oppose $150B infrastructure spending,"1=Lib (support spending), 2=Con (oppose spending); HIGH=con",Economic,1.1955,1.2034,0.0079,1.77
LK,CTR,CC24_323a,Oppose legal status for working immigrants,"1=Lib (support legal status), 2=Con (oppose); HIGH=con",Immigration,1.4077,1.4003,-0.0074,-0.74
LK,CTR,CC24_323b,Increase border patrols,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.2043,1.068,-0.1363,-16.69
LK,CTR,CC24_323d,Oppose Dreamers pathway to citizenship,"1=Lib (support pathway), 2=Con (oppose); HIGH=con",Immigration,1.296,1.2772,-0.0188,-1.89
LK,CTR,CC24_321b,Support easier concealed carry permits,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.6107,1.5578,-0.0529,-5.83
LK,CTR,CC24_321d,Increase police funding 10%,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.4328,1.3486,-0.0842,-8.44
LK,CTR,CC24_321e,Oppose 10% police budget cut,"1=Lib (support cut), 2=Con (oppose cut); HIGH=con",Guns/Policing,1.732,1.8339,0.1019,11.7
LK,CTR,CC24_325,Abortion week limit (40−raw; high=more restrictive),0–39 (0=most permissive),Abortion,23.9201,26.9364,3.0163,13.29
LK,CTR,CC24_324b,Permit abortion only rape/incest/life danger,"1=Oppose, 2=Support (HIGH=restrictive)",Abortion,1.486,1.3455,-0.1405,-21.14
LK,CTR,CC24_340b,Oppose ban on abortion service restrictions,"1=Lib (support ban), 2=Con (oppose ban); HIGH=con",Abortion,1.3698,1.4614,0.0916,14.28
LK,CTR,CC24_340c,Oppose same-sex marriage recognition,"1=Lib (support SSM), 2=Con (oppose SSM); HIGH=con",Civil Liberties,1.3393,1.4418,0.1025,13.97
LK,CTR,CC24_340e,Renew post-9/11 surveillance programs,"1=Oppose, 2=Support (HIGH=con)",Civil Liberties,1.6598,1.5434,-0.1164,-17.15
LK,CTR,CC24_340f,Deny asylum at the border,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.3683,1.179,-0.1893,-18.94
LK,CTR,CC24_440b,Racial problems today are rare and isolated,"1=Disagree, 2=Agree (HIGH=racial minimization)",Race/Gender,3.4832,3.1414,-0.3418,-12.24
LK,CTR,CC24_440c,Women seek to gain power over men,"1=Disagree, 2=Agree (HIGH=traditional gender)",Race/Gender,3.5378,3.2341,-0.3037,-13.65
LK,CTR,CC24_421_1,Disagree: U.S. elections are fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,2.3653,1.4932,-0.8721,-47.42
