state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_CUP,inc_LIB,inc_POP,inc_DSA,inc_LBR,inc_PRG,inc_NAT
26,MI,LBR_1,LBR,14.73,0.8,0.76,0.0,0.0,0.0,5.69,0.0,0.0,0.0
26,MI,LIB_1,LIB,11.19,0.0,1.54,0.0,0.0,0.0,0.0,2.19,7.42,0.0
26,MI,POP_1,POP,12.06,2.84,0.0,0.0,0.0,0.0,0.0,2.33,0.0,3.36
27,MN,CON_1,CON,15.87,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0
27,MN,LBR_1,LBR,13.18,0.0,0.0,2.12,0.0,0.0,2.26,0.0,1.26,0.0
27,MN,LIB_1,LIB,15.86,0.0,0.0,0.0,0.0,0.0,0.57,0.52,12.87,0.0
27,MN,NAT_1,NAT,10.32,0.0,0.0,0.0,0.0,6.42,0.0,0.0,0.0,0.0
27,MN,POP_1,POP,12.65,1.09,9.34,1.32,0.0,0.0,0.0,0.0,0.0,0.0
28,MS,CON_1,CON,20.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.32
28,MS,LBR_1,LBR,22.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,MS,LBR_2,LBR,0.0,0.0,0.0,5.8,3.86,0.0,3.05,5.79,0.0,0.0
28,MS,OAO_1,OAO,11.24,0.78,0.0,4.08,0.69,0.0,0.0,2.14,0.0,0.0
28,MS,POP_1,POP,17.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69
29,MO,CON_1,CON,24.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.76
29,MO,CUP_1,CUP,8.04,2.84,1.72,0.0,5.22,0.0,0.0,0.0,0.0,0.0
29,MO,LBR_1,LBR,17.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,MO,LIB_1,LIB,8.22,0.54,0.87,0.0,0.0,0.0,9.62,0.0,2.68,0.0
29,MO,POP_1,POP,12.96,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73
30,MT,CON_1,CON,16.61,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.2
30,MT,LBR_1,LBR,15.98,0.0,0.0,3.37,1.8,0.0,0.0,0.0,0.0,0.0
30,MT,LIB_1,LIB,14.51,0.0,0.97,0.0,0.0,0.0,0.0,0.0,4.16,0.0
30,MT,NAT_1,NAT,22.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,MT,POP_1,POP,9.91,1.78,0.0,1.99,0.0,0.0,3.96,0.0,0.0,1.45
31,NE,CON_1,CON,19.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,NE,CUP_1,CUP,13.33,0.67,1.24,0.0,0.0,7.53,0.0,0.0,0.0,1.96
31,NE,LBR_1,LBR,18.29,0.0,0.0,0.0,0.0,0.0,8.73,0.0,0.0,0.0
31,NE,LIB_1,LIB,7.43,0.0,1.31,7.73,0.0,0.0,2.54,0.0,2.54,0.0
31,NE,POP_1,POP,13.48,0.95,1.77,0.0,0.0,0.0,0.0,0.0,0.0,8.65
32,NV,CON_1,CON,21.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81
32,NV,LBR_1,LBR,21.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,NV,LBR_2,LBR,0.0,0.51,3.71,1.09,4.03,1.23,4.26,4.52,0.59,0.0
