variable,domain,type,stat_label,question,overall,CON,SD,STY,NAT,LIB,POP,CUP,C7,DSA,PRG,house_chamber
CC24_441a,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Minorities should work their way up without special favors,2.7418,1.8511,3.4333,2.8818,1.4892,3.8451,1.9589,2.2248,2.4367,4.4872,4.6341,2.7233
CC24_441a,Racial & Gender,likert5_dist,% Strongly Agree,Minorities should work their way up without special favors,27.84,45.52,7.78,18.16,65.64,5.13,45.72,35.88,26.19,0.5,0.69,26.3605
CC24_441a,Racial & Gender,likert5_dist,% Agree,Minorities should work their way up without special favors,20.7,31.17,15.63,20.46,21.94,10.36,25.41,27.98,31.29,2.93,1.56,21.326
CC24_441a,Racial & Gender,likert5_dist,% Neither,Minorities should work their way up without special favors,19.78,17.97,26.83,32.69,10.95,16.62,20.85,20.83,22.7,9.56,4.59,22.3944
CC24_441a,Racial & Gender,likert5_dist,% Disagree,Minorities should work their way up without special favors,12.79,3.38,24.99,12.42,0.82,30.65,3.29,8.38,12.32,21.38,19.98,13.4646
CC24_441a,Racial & Gender,likert5_dist,% Strongly Disagree,Minorities should work their way up without special favors,18.89,1.96,24.77,16.27,0.65,37.24,4.73,6.93,7.5,65.63,73.19,16.4545
CC24_441b,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Slavery/discrimination makes it hard for Blacks to rise,2.9061,3.8116,2.176,2.5874,4.4692,1.829,3.7137,3.1982,2.9616,1.3499,1.2508,2.8832
CC24_441b,Racial & Gender,likert5_dist,% Strongly Agree,Slavery/discrimination makes it hard for Blacks to rise,24.54,4.68,33.08,24.54,0.82,47.43,7.47,14.11,13.62,72.59,78.77,22.7225
CC24_441b,Racial & Gender,likert5_dist,% Agree,Slavery/discrimination makes it hard for Blacks to rise,21.68,12.69,36.06,25.76,3.42,35.24,12.38,22.93,30.67,22.56,18.88,23.3814
CC24_441b,Racial & Gender,likert5_dist,% Neither,Slavery/discrimination makes it hard for Blacks to rise,15.46,17.7,16.43,26.75,9.14,7.86,21.33,17.3,18.66,3.15,1.23,17.6631
CC24_441b,Racial & Gender,likert5_dist,% Disagree,Slavery/discrimination makes it hard for Blacks to rise,15.3,26.66,9.04,12.3,21.27,5.93,18.95,20.33,20.01,0.65,0.72,15.3114
CC24_441b,Racial & Gender,likert5_dist,% Strongly Disagree,Slavery/discrimination makes it hard for Blacks to rise,23.02,38.27,5.39,10.65,65.36,3.54,39.87,25.32,17.03,1.05,0.39,20.9207
CC24_441e,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",I resent when Whites deny racial discrimination exists,2.1841,2.7095,1.833,2.1083,4.0418,1.5169,2.9195,2.2492,1.9257,1.3608,1.2057,2.252
CC24_441e,Racial & Gender,likert5_dist,% Strongly Agree,I resent when Whites deny racial discrimination exists,41.59,22.35,48.78,39.0,1.74,66.82,19.79,37.89,43.4,76.92,83.66,38.6379
CC24_441e,Racial & Gender,likert5_dist,% Agree,I resent when Whites deny racial discrimination exists,21.07,18.86,26.1,23.88,6.07,20.3,18.51,24.76,28.0,13.36,13.38,21.4246
CC24_441e,Racial & Gender,likert5_dist,% Neither,I resent when Whites deny racial discrimination exists,23.23,36.35,20.14,28.11,28.19,9.82,31.05,22.04,22.94,7.7,2.05,24.9145
CC24_441e,Racial & Gender,likert5_dist,% Disagree,I resent when Whites deny racial discrimination exists,5.57,10.35,2.98,5.32,14.28,0.47,11.27,5.18,3.95,0.74,0.58,6.146
CC24_441e,Racial & Gender,likert5_dist,% Strongly Disagree,I resent when Whites deny racial discrimination exists,8.54,12.08,2.0,3.69,49.72,2.58,19.38,10.13,1.71,1.27,0.34,8.8738
CC24_441f,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Whites get away with offenses that African Americans wouldn't,2.2467,2.9596,1.8294,2.0119,4.2954,1.5717,2.9934,2.4389,2.1264,1.2969,1.2437,2.3244
CC24_441f,Racial & Gender,likert5_dist,% Strongly Agree,Whites get away with offenses that African Americans wouldn't,41.13,22.66,47.07,41.58,1.36,64.85,22.87,33.89,38.15,77.94,78.66,38.5668
CC24_441f,Racial & Gender,likert5_dist,% Agree,Whites get away with offenses that African Americans wouldn't,23.28,16.64,31.63,27.66,8.2,22.05,16.5,26.39,28.23,16.36,18.8,23.0476
CC24_441f,Racial & Gender,likert5_dist,% Neither,Whites get away with offenses that African Americans wouldn't,17.45,25.87,15.35,22.55,13.21,7.51,25.5,16.06,20.96,4.62,2.25,18.7905
CC24_441f,Racial & Gender,likert5_dist,% Disagree,Whites get away with offenses that African Americans wouldn't,6.08,11.74,3.21,4.42,13.99,2.25,8.7,9.29,8.15,0.21,0.12,6.5747
CC24_441f,Racial & Gender,likert5_dist,% Strongly Disagree,Whites get away with offenses that African Americans wouldn't,12.06,23.09,2.75,3.79,63.23,3.34,26.44,14.38,4.51,0.86,0.18,13.0244
CC24_441g,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Whites don't understand the problems African Americans face,2.4054,2.9019,2.1455,2.2023,3.9943,1.9435,3.0188,2.613,2.2756,1.567,1.5086,2.4781
CC24_441g,Racial & Gender,likert5_dist,% Strongly Agree,Whites don't understand the problems African Americans face,30.07,16.56,31.32,33.23,1.57,42.64,18.11,24.17,26.84,61.48,58.98,27.8691
CC24_441g,Racial & Gender,likert5_dist,% Agree,Whites don't understand the problems African Americans face,25.71,20.28,32.11,26.85,5.68,32.09,15.91,28.07,31.46,23.66,33.25,25.2224
CC24_441g,Racial & Gender,likert5_dist,% Neither,Whites don't understand the problems African Americans face,27.04,34.56,29.65,30.13,29.02,16.72,33.59,22.86,31.25,12.7,6.17,28.2142
CC24_441g,Racial & Gender,likert5_dist,% Disagree,Whites don't understand the problems African Americans face,7.99,13.63,4.52,6.02,19.23,5.37,10.78,12.08,8.21,1.0,1.14,8.6182
CC24_441g,Racial & Gender,likert5_dist,% Strongly Disagree,Whites don't understand the problems African Americans face,9.19,14.97,2.4,3.76,44.51,3.18,21.61,12.81,2.25,1.16,0.46,10.0733
CC24_445a,Racial & Gender,binary_agree,% Agreeing,SCOTUS: Race in admissions violates Equal Protection (Agree/Disagree),67.4348,84.8388,55.6298,71.2793,91.0881,41.635,83.6675,79.6506,76.3065,30.5111,15.0246,68.9765
CC24_445b,Racial & Gender,binary_agree,% Agreeing,SCOTUS: Constitution doesn't protect abortion; Roe overruled (Agree/Disagree),53.2276,79.4661,31.314,51.2356,94.9028,17.128,76.8646,64.6591,48.7106,10.3602,4.9538,53.5409
CC24_421_1,Elections & Trust,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Elections in the U.S. are fair,2.3653,2.3808,2.3782,3.0445,2.8104,1.4053,3.0863,1.4932,1.6007,3.2445,1.6584,2.4174
CC24_421_1,Elections & Trust,likert5_dist,% Strongly Agree,Elections in the U.S. are fair,25.05,13.55,18.87,9.13,7.84,67.53,5.47,58.5,50.63,4.03,49.95,23.9359
CC24_421_1,Elections & Trust,likert5_dist,% Agree,Elections in the U.S. are fair,37.79,50.43,42.96,26.39,40.1,27.02,30.9,35.31,41.59,28.73,40.83,36.3645
CC24_421_1,Elections & Trust,likert5_dist,% Neither,Elections in the U.S. are fair,18.62,22.27,22.97,31.12,22.89,3.2,27.32,4.69,5.42,21.27,4.53,20.333
CC24_421_1,Elections & Trust,likert5_dist,% Disagree,Elections in the U.S. are fair,12.63,11.87,11.89,17.58,21.53,1.88,22.14,1.37,1.78,30.73,2.82,12.7419
CC24_421_1,Elections & Trust,likert5_dist,% Strongly Disagree,Elections in the U.S. are fair,5.9,1.88,3.32,15.76,7.65,0.36,14.16,0.13,0.57,15.25,1.88,6.621
CC24_421_2,Elections & Trust,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",2024 state/local election was fair,1.9098,1.8351,1.8687,2.8158,2.3298,1.0048,2.8203,1.0312,1.2437,2.4948,1.0109,1.9978
CC24_421_2,Elections & Trust,likert5_dist,% Strongly Agree,2024 state/local election was fair,45.45,36.38,32.8,11.83,29.57,99.52,12.23,96.88,75.63,11.87,98.91,41.7146
CC24_421_2,Elections & Trust,likert5_dist,% Agree,2024 state/local election was fair,29.21,44.67,47.65,27.22,33.17,0.48,29.78,3.12,24.37,45.9,1.09,29.3374
CC24_421_2,Elections & Trust,likert5_dist,% Neither,2024 state/local election was fair,17.39,18.03,19.45,38.72,18.59,0.0,32.34,0.0,0.0,27.73,0.0,20.1068
CC24_421_2,Elections & Trust,likert5_dist,% Disagree,2024 state/local election was fair,4.8,0.9,0.1,12.03,12.05,0.0,15.05,0.0,0.0,9.9,0.0,5.1463
CC24_421_2,Elections & Trust,likert5_dist,% Strongly Disagree,2024 state/local election was fair,3.15,0.02,0.0,10.21,6.62,0.0,10.6,0.0,0.0,4.61,0.0,3.6969
CC24_423,Elections & Trust,trust,Weighted mean,Trust in federal government (1=Great deal … 4=None at all),2.7066,2.7572,2.5967,2.7274,3.1769,2.4015,3.0608,2.1954,2.3972,3.0138,2.6714,2.6757
CC24_423,Elections & Trust,trust_dist,% Great deal,Trust in federal government (1=Great deal … 4=None at all),6.11,3.15,6.19,5.5,0.58,10.8,3.06,21.09,8.36,1.03,4.29,7.0008
CC24_423,Elections & Trust,trust_dist,% Fair amount,Trust in federal government (1=Great deal … 4=None at all),31.94,30.1,37.91,33.19,11.9,45.55,16.52,44.12,48.31,18.12,35.92,32.8527
CC24_423,Elections & Trust,trust_dist,% Not very much,Trust in federal government (1=Great deal … 4=None at all),47.11,54.62,45.92,44.39,56.76,36.34,51.7,28.95,38.56,59.29,48.16,45.7133
CC24_423,Elections & Trust,trust_dist,% None at all,Trust in federal government (1=Great deal … 4=None at all),14.83,12.13,9.97,16.92,30.76,7.31,28.72,5.84,4.76,21.56,11.63,14.4313
CC24_424,Elections & Trust,trust,Weighted mean,Trust in state government (1=Great deal … 4=None at all),2.4493,2.4074,2.3903,2.6656,2.7697,2.1221,2.8783,2.0054,2.122,2.8161,2.2008,2.4587
CC24_424,Elections & Trust,trust_dist,% Great deal,Trust in state government (1=Great deal … 4=None at all),12.9,12.6,11.54,7.0,7.8,21.39,4.1,28.99,18.1,4.76,17.82,12.7703
CC24_424,Elections & Trust,trust_dist,% Fair amount,Trust in state government (1=Great deal … 4=None at all),42.36,44.0,46.49,37.28,33.69,50.79,30.64,45.67,54.52,31.34,50.97,41.7288
CC24_424,Elections & Trust,trust_dist,% Not very much,Trust in state government (1=Great deal … 4=None at all),31.65,33.45,33.37,37.87,32.25,22.05,38.59,21.17,24.46,41.42,24.53,32.3656
CC24_424,Elections & Trust,trust_dist,% None at all,Trust in state government (1=Great deal … 4=None at all),13.09,9.94,8.6,17.85,26.26,5.78,26.67,4.18,2.92,22.47,6.68,13.1355
CC24_312a,Approval,approval4,Weighted mean,Job approval — President Biden,2.8887,3.674,2.1854,2.7118,3.9723,1.7032,3.7169,3.0209,2.4678,2.3321,1.8576,2.8696
CC24_312a,Approval,approval4_dist,% Strongly approve,Job approval — President Biden,16.69,3.0,26.59,17.08,0.08,45.84,2.43,14.15,25.31,17.8,35.4,16.8586
CC24_312a,Approval,approval4_dist,% Somewhat approve,Job approval — President Biden,24.53,7.53,42.12,28.34,0.19,42.1,6.23,19.64,33.22,47.5,48.85,24.494
CC24_312a,Approval,approval4_dist,% Somewhat disapprove,Job approval — President Biden,11.99,8.55,17.44,20.89,2.14,7.96,8.55,16.19,10.85,18.4,10.32,13.4752
